acc_jumping,gyro_jumping,acc_walking,gyro_walking,acc_standing,gyro_standing
5.7728054067093195,1.4914085250450682,4.946991338560797,0.20752417237456708,5.065299772931154,0.41466437329611344
15.29048816252894,2.3048169648507235,0.4544939279363806,0.2893193315209943,0.17578655301429955,0.05967934942552474
8.571464032886814,2.6297340170692856,1.2597891943969162,0.2227316539937322,0.12505716391619986,0.022229965521751372
18.284452427301137,2.442568226114163,1.5911582134779698,0.2860076037170399,0.14052744633972034,0.025016791065039293
15.5767677052079,2.1489839470201217,2.1274087415502834,0.31651503893866195,0.21173035129917792,0.059875252570463125
14.849900865903182,1.8662272042638257,1.767162363549488,0.36624296955642843,0.10689046647595142,0.027881049030809388
12.161423406750073,1.7842606861555756,1.8645205206735194,0.26664521865967855,0.19170375980585347,0.04177800931609299
12.536442111785295,1.8629970908996834,1.6995514552230377,0.28810477409813917,0.12318594329158586,0.021506260197275813
15.812576135286147,1.1661257780075622,1.8283092258655838,0.46580603568831597,0.10514677477444395,0.024174016702560752
14.029797721387942,1.7829199077101185,1.9876393372930112,0.6180680838321214,0.12158604629181695,0.020777686452781045
12.06863498383643,1.8451249761402075,0.3849253588692966,0.47817361494460414,0.11896195137674079,0.019198719312109647
18.985126814862696,2.1204877104421573,1.1110209055533045,0.3360570852069246,0.08493059750669121,0.017143709444814612
13.616246044863235,1.9934680633832371,1.8125604828833524,0.39868275714265705,0.10385940054667307,0.021365786845386862
12.395654696700925,0.9676735354066713,1.694532577310698,0.36177665406572757,0.1259518065058045,0.009910314792553332
2.329866164587798,0.9733329004187542,1.7467554928221294,0.25860731214763333,0.06537187970958755,0.08963872888270519
