lsm6dso_acceleration_sensor.x,lsm6dso_acceleration_sensor.y,lsm6dso_acceleration_sensor.z,rms_acc,lsm6dso_gyroscope_sensor.x,lsm6dso_gyroscope_sensor.y,lsm6dso_gyroscope_sensor.z,rms_gyro
0,0,0,0,-0.25328,-0.14958562,-0.05513059,0.299275789
0,0,0,0,-0.09140071,0.025121834,0.057268616,0.110746967
0,0,0,0,-0.13599387,-0.44219008,-0.051465396,0.465483712
0,0,0,0,-0.32475123,-1.6969073,0.4072944,1.775062386
0,0,0,0,-0.5397758,-2.3028855,0.399964,2.398876975
0,0,0,0,0.6746243,-2.3798547,-0.058184914,2.474310373
6.854899,1.8890251,6.6609683,9.743025958,0.25434902,1.0348821,0.99189246,1.455858866
1.3814543,2.4277205,6.0911484,6.70106944,0.5964336,3.7904952,0.50503284,3.870225455
2.303222,0.39743748,2.4756045,3.404615363,-1.6228399,1.8564959,1.3822353,2.826793376
11.502045,2.9759927,11.909059,16.82198734,-2.5806766,-0.94248873,-3.5749362,4.508696658
-0.8834604,2.315193,3.8163576,4.550297379,-0.46036333,3.0910544,-1.1974486,3.346705074
-6.881235,-0.2801216,3.1603463,7.57744363,-1.5092189,2.8943558,1.7047722,3.682565062
-7.070377,-4.0462008,-3.406949,8.83002114,-2.564794,4.511927,0.5410739,5.218085327
-12.38311,-4.501099,0.5626374,13.18779232,-3.7828593,4.1276927,0.72066826,5.645107107
-19.733608,-3.052607,-1.1851299,20.00345538,-4.080351,4.295681,1.4268285,6.094093789
-30.67541,-5.952285,-2.0278888,31.31330082,-5.6588264,2.979877,3.6699257,7.373624469
-48.457745,-0.08619126,-5.0329113,48.71848392,-7.162777,3.1417563,5.3583574,9.480928279
-39.524677,3.0813377,11.873145,41.38437273,-4.9343405,-0.98280585,7.6631517,9.167197908
-33.938705,9.785401,1.5634137,35.35582034,-0.81649774,-0.46906814,9.2281885,9.276106752
-20.779875,3.667917,8.5476,22.76660462,-2.0626628,-1.2888494,8.0498295,8.409248812
-10.913071,-5.4159837,3.7732618,12.75403868,0.96234185,-3.162373,7.166518,7.892128045
-17.729662,-1.9153614,-2.1021092,17.95629102,-1.6167313,-1.7494417,4.882493,5.432596456
-18.898033,-9.771036,0.272939,21.27635522,1.5579355,-0.8093201,4.0431643,4.407872458
-4.2185836,-18.749592,-3.083732,19.46414783,0.18165605,-2.3444245,4.6234865,5.18709481
15.419257,-34.712334,-17.770363,41.93429884,-0.98204225,0.009239337,0.66874474,1.188154819
8.03524,-30.055311,-8.595484,32.27644879,-4.0241513,1.670182,-5.841857,7.287701613
20.399197,-19.838953,10.872369,30.46177444,1.4730252,3.0800588,-4.5517097,5.68987053
-28.963556,-2.336741,4.7740383,29.44723037,2.693534,0.5565746,-8.410545,8.848851219
-27.055378,-4.6519337,-5.315427,27.96225545,5.7918425,-1.4598916,-7.836943,9.853649
-29.844622,-8.454226,-5.1191025,31.43852112,3.418631,-2.5893815,-8.036085,9.108819715
-26.28205,-6.950667,-1.5107412,27.2275644,2.8438067,-2.6700156,-7.877871,8.790737816
-22.044014,6.8357453,-16.563686,28.40812667,2.7051404,-2.7298803,-4.9335003,6.253755371
-30.263607,2.8275523,-13.388675,33.213515,3.5432475,-2.2008712,-0.61407226,4.216102658
