lsm6dso_acceleration_sensor.x,lsm6dso_acceleration_sensor.y,lsm6dso_acceleration_sensor.z,rms_acc,lsm6dso_gyroscope_sensor.x,lsm6dso_gyroscope_sensor.y,lsm6dso_gyroscope_sensor.z,rms_gyro
0,0,0,0,-0.19097175,0.34338263,-0.046578474,0.395665761
0,0,0,0,-0.20441078,1.0049497,0.21487185,1.047796535
0,0,0,0,-0.22884539,0.87422454,0.5477934,1.056748015
0,0,0,0,-0.24167356,1.0000628,0.48243082,1.13634115
0,0,0,0,-0.26610819,0.36048687,0.3199407,0.550569163
0,0,0,0,-0.06391177,0.09476047,0.043829583,0.122414433
-0.074220255,3.3638535,9.277831,9.869101635,-0.13965906,0.07582365,-0.029474247,0.161624906
-0.16759412,3.4380736,9.024046,9.658252641,0.19265163,0.2560289,-0.09605856,0.334503655
-0.25378537,3.4476504,8.877999,9.527306363,-0.20990857,0.08987355,0.09819659,0.248558711
-0.14844051,3.2968156,9.610625,10.16145366,-0.04314236,0.05627596,0.04444045,0.083685127
-0.16519992,3.3614593,9.31135,9.900905941,-0.013820826,0.06421721,0.05421429,0.085170738
-0.08379706,3.3279405,9.44303,10.01264328,-0.06391177,0.014737124,0.013897184,0.067044977
-0.40940848,3.394978,8.813355,9.453502911,-0.024205536,0.23037256,-0.045356743,0.236039527
-0.2753332,3.064578,9.577106,10.0592448,-0.13660474,0.030008756,0.048716504,0.148103606
-0.51954174,3.2369606,9.387964,9.943928078,-0.028481591,0.06666067,0.00412334,0.072607492
-0.38307226,3.0597897,9.330503,9.826868453,-0.029092457,-0.042073343,-0.014813482,0.053253887
-0.521936,3.1914709,9.316138,9.861456836,-0.013209961,0.022067508,0.011453724,0.028154321
-0.38067806,3.1028855,9.134179,9.654327538,-0.06452264,-0.027412578,0.007788532,0.070535677
-0.40222588,3.0573955,9.356839,9.851897735,2.29E-04,-0.04268421,0.043829583,0.06118028
-0.4237737,3.071761,9.375993,9.875451611,-0.049861874,-0.051847186,0.033444874,0.079327781
-0.40701428,3.1004913,9.328109,9.838309023,0.022831088,0.008017606,0.05971208,0.064428822
-0.29448682,3.0502129,9.194034,9.691273519,0.003894266,0.009239337,0.013286319,0.016645027
-0.30885202,2.9855695,9.421483,9.888041097,0.060704734,-0.007254025,0.03772093,0.071836997
-0.2657564,3.1364043,9.229947,9.751901354,0.00206167,-0.015195273,0.020616703,0.025694265
-0.29927522,3.1651347,9.237129,9.768940346,0.03688099,-0.041462477,0.004734206,0.055693421
-0.39025488,3.1866825,9.148544,9.695519664,0.007559457,-0.007254025,0.011453724,0.015522695
-0.29448682,3.1986535,9.438242,9.969880579,0.018555032,0.032452215,0.037110064,0.052674399
-0.25617957,3.1555579,9.103054,9.637881809,0.072922036,0.014737124,0.007788532,0.074802857
-0.18914193,3.2034419,9.380781,9.914477639,-0.014431692,0.011071933,0.024281893,0.030339277
-0.3184288,3.1172507,9.064747,9.591052445,0.036270123,7.64E-05,-0.016035212,0.039656723
-0.33997664,3.2034419,9.285013,9.827974895,0.03932445,0.012293663,-0.013591751,0.043385276
-0.34237084,3.2704794,9.064747,9.642763684,-0.025427265,-0.053068917,0.007177667,0.059282161
-0.23223756,3.2249897,9.081507,9.639930614,0.025885414,-0.0322995,0.00290161,0.041493755
-0.22744916,3.2728736,9.036016,9.613169086,-0.07979427,0.048334714,0.035888333,0.099956703
-0.2801216,3.2393548,9.469367,10.01203271,0.030161472,-0.030466905,-0.006261369,0.043326106
-0.47405192,3.2872388,9.249101,9.827336031,0.022220224,-0.046960264,0.006566802,0.052365329
-0.20111294,3.2154129,9.26586,9.809968811,-0.003436117,0.006185011,0.018784106,0.020072466
-0.14844051,3.2202013,9.112631,9.666011315,0.006948592,0.019013181,-7.64E-04,0.020257518
-0.21547815,3.2225955,9.440637,9.977834412,0.0332158,0.031230485,0.005345071,0.045904274
-0.32800564,3.2920272,9.196428,9.773398526,0.0753655,-0.001756238,-0.034972034,0.083102865
-0.272939,3.229778,9.0839,9.644853593,-0.06207918,-0.07322747,-7.64E-04,0.09600349
-0.23942018,3.145981,9.512463,10.02204923,-0.08773552,-0.013973543,0.020005837,0.091065992
-0.34476504,3.3063924,9.165303,9.749557565,0.16577356,0.13080151,0.034055736,0.213891798
-0.40940848,3.2154129,9.433454,9.974795727,-0.070631295,-0.117820635,0.064599,0.151800898
-0.19153613,3.2154129,9.167698,9.717111342,0.022831088,-0.009697486,0.11102476,0.11376202
-0.06703765,3.1316159,8.9641905,9.495694999,-0.019318614,-0.1379792,0.08353582,0.162449074
-0.074220255,3.277662,9.222764,9.788153689,-0.020540344,0.06116288,0.05665775,0.085865617
-0.04309563,3.1890767,9.720758,10.23060133,-0.015042556,0.048334714,0.034055736,0.061010788
-0.047884032,3.2465374,9.141361,9.700864853,0.017944166,0.008628472,-0.010537425,0.022527338
-0.08619126,3.2800562,9.179668,9.74846153,0.016722437,0.025732698,-0.002596177,0.030798568
-0.1436521,3.2513258,9.306561,9.859200426,0.001450805,0.005574145,0.001679879,0.005999827
-0.08140286,3.2321723,9.282619,9.829576781,-0.020540344,-0.034742963,0.02611449,0.048072298
-0.023942016,3.1723173,9.397541,9.918565779,0.09369145,-5.35E-04,-0.04046982,0.102059688
-0.05746084,3.1866825,9.1150255,9.656186461,-0.021762075,-0.027412578,-0.054519724,0.064787635
-0.17477672,3.2106245,9.107842,9.65874953,0.04054618,-0.045738537,-0.029474247,0.067858218
-0.1604115,3.265691,9.112631,9.681452024,8.40E-04,-0.021303926,-0.020922136,0.029871366
-0.15562311,3.1986535,9.215582,9.756154691,0.012446379,-0.010308351,0.009621128,0.018807992
-0.06703765,3.1723173,9.38557,9.907422234,0.010002919,7.64E-05,-0.042913284,0.044063751
-0.16759412,3.3087866,9.122208,9.705196307,-0.019929478,0.015958855,-0.008093964,0.026783977
-0.14604631,3.2704794,9.337686,9.894935314,0.032604933,-0.003588833,-0.019089539,0.037952232
-0.11252748,3.2321723,9.167698,9.721434402,-0.013820826,-0.021303926,4.58E-04,0.025398472
-0.19871874,3.2992098,9.124602,9.704773882,0.017944166,0.023289237,0.049938235,0.057950056
0.088585466,3.181894,9.332897,9.860794249,-0.044364087,-0.07322747,0.03283401,0.091697911
0.035913024,3.2249897,9.292196,9.835992823,0.03504839,0.008017606,-0.04230242,0.055517262
-0.11971009,3.3087866,9.2107935,9.787804461,-0.014431692,-0.031077769,-0.037415497,0.050734809
-0.22505496,3.2704794,9.021651,9.598795341,0.023441954,0.001298089,-0.0355829,0.042630424
-0.15562311,3.25372,9.091084,9.657055487,0.01366811,0.009239337,0.00412334,0.017005426
-0.30645782,3.2680852,8.782231,9.375600173,-0.038255434,0.008628472,0.055436023,0.067904944
0.011971008,3.122039,9.617807,10.11184861,-0.11766792,0.015958855,0.11407909,0.164664699
0.19632454,3.2321723,9.26586,9.815377865,-0.040698897,0.07276932,0.005345071,0.083548453
0.035913024,3.2728736,9.541193,10.0869894,-0.06085745,-0.03718642,-0.016646078,0.073236268
-0.1436521,3.301604,9.225159,9.799223616,0.00206167,0.001298089,-0.003817908,0.004529011
0.011971008,3.1914709,9.407118,9.933755527,-0.018707749,-0.030466905,0.022449298,0.042215911
-0.04309563,3.095703,9.215582,9.721737802,-0.002825252,-0.016417004,-1.53E-04,0.016659033
-0.107739076,3.1627405,9.337686,9.859356724,0.038713586,0.005574145,-0.013591751,0.041407107
-0.18195933,3.2202013,9.206005,9.754657025,-0.007712174,-0.006643159,-0.008093964,0.01300467
-0.047884032,3.169923,9.282619,9.809063167,0.004505131,0.055665094,0.02367103,0.060656546
-0.035913024,3.098097,9.342474,9.84283065,0.019165898,0.019013181,-0.013591751,0.030225294
0.107739076,3.0214825,9.19164,9.676115445,-0.019929478,-0.038408153,-0.021533,0.048332602
-0.05267244,3.1244333,9.179668,9.696966661,0.0173333,-0.004810564,-0.038026363,0.042066484
0.076614454,3.0334535,9.29459,9.777377623,-0.07185303,-0.037797287,-0.05207626,0.096454288
-0.045489833,3.064578,9.366416,9.855123354,0.039935317,-0.005421429,-0.088728175,0.097452093
-0.23223756,3.1435869,9.387964,9.903026858,-0.034590244,-0.0322995,-0.030085113,0.056079022
-0.37110126,3.1651347,9.047988,9.592803587,-0.069409564,-0.015195273,0.02977968,0.077041633
-0.095768064,3.0885203,9.457396,9.949395372,-0.028481591,0.012293663,0.023060163,0.038653671
-0.15322891,3.0885203,9.383176,9.87959658,-0.002214387,0.053221636,0.04138612,0.067455593
-0.007182605,3.040636,9.469367,9.9455734,0.005115997,0.015958855,0.03894266,0.042395628
-0.08379706,3.028665,9.347262,9.826043992,-0.016875152,-0.010308351,0.046883907,0.05088353
0.06943185,3.0119057,9.344869,9.818501584,0.014278975,0.03306308,0.025503624,0.044130389
0.08379706,2.96881,9.301773,9.764416813,0.015500706,-0.022525655,-1.53E-04,0.02734411
-0.079008654,3.0262709,9.435848,9.909580486,-0.016875152,0.003130684,-0.009315695,0.01952829
-0.01436521,3.0358477,9.201217,9.689116157,0.027718011,-0.016417004,-0.036193766,0.048454049
-0.11252748,3.0334535,9.124602,9.616281206,-0.017486017,0.014126259,0.001069014,0.02250455
-0.093373865,2.9759927,9.332897,9.79633695,-0.06818783,-0.030466905,0.009010263,0.075226307
-0.16759412,3.0190883,9.256283,9.737646375,0.005726862,-0.024969118,-0.012980887,0.028718587
-0.15562311,3.074155,9.462184,9.95025495,-0.033368513,0.007406741,0.03283401,0.047396094
-0.2657564,3.086126,9.332897,9.833502253,-0.008933905,0.02023491,0.023060163,0.031953675
0.090979666,2.9712043,9.337686,9.799424071,-0.005879578,0.05138904,0.037110064,0.063659718
-0.01436521,3.0358477,9.474155,9.948677831,0.011835515,0.050167307,0.004734206,0.05176148
0,2.992752,9.519646,9.978989152,0.003283401,-0.004199699,0.008399397,0.009948269
-0.107739076,3.0310593,9.373599,9.852070158,0.07658723,-0.045738537,0.02977968,0.09404492
-0.05746084,3.004723,9.117419,9.599947462,-0.020540344,-0.043295074,0.02367103,0.053447982
0.095768064,2.980781,9.22037,9.690688821,0.008781188,0.022678372,-0.021533,0.032482117
-0.055066638,3.0262709,9.332897,9.811437933,-0.011377365,-0.00908662,-0.03436117,0.037318911
-0.047884032,3.0550013,9.390358,9.874925275,-0.001603521,-0.0182496,-0.053297993,0.056358631
0.047884032,3.0238767,9.43106,9.904090867,0.02405282,-0.051847186,-0.06246097,0.084664288
-0.1388637,3.0358477,9.074324,9.569692286,0.02893974,-0.028634308,-0.03191771,0.051731735
-0.14844051,3.0071173,9.244312,9.722247343,-0.014431692,-0.034132097,-0.025198191,0.044813197
-0.18195933,3.0262709,9.177275,9.66508154,-0.055970527,0.00374155,-0.016035212,0.058342327
-0.11252748,3.110068,9.330503,9.835825925,-0.012599096,0.05505423,0.004734206,0.056675552
-0.12928689,3.0909145,9.433454,9.927765203,-0.048640147,0.001298089,0.041996986,0.064275157
-0.04070143,3.040636,9.352051,9.834021649,0.03932445,0.014737124,0.038331795,0.056858787
0.01436521,2.980781,9.313744,9.779114941,-0.014431692,0.020845776,0.04810564,0.054378054
0.08379706,2.9496565,9.469367,9.918488131,0.021609358,-0.002977968,0.021227567,0.030437514
-0.035913024,2.9496565,9.251494,9.710401868,-0.019929478,0.008628472,0.038331795,0.04405634
0.16280572,3.0023289,9.361628,9.832627489,0.03932445,0.03306308,-0.022143865,0.055945781
-0.02873042,3.0478187,9.241918,9.731550369,-0.018707749,-0.016417004,-0.003207043,0.025095478
0.045489833,2.9879637,9.316138,9.783681497,0.015500706,-0.03718642,-0.03191771,0.051398851
0.007182605,3.0238767,9.22037,9.70356145,0.04665483,-0.04268421,-0.020922136,0.066605936
-0.14604631,3.0933087,9.409512,9.905998401,-0.013820826,0.005574145,-0.006261369,0.0161645
-0.074220255,3.016694,9.359234,9.833677461,0.030772336,-0.010308351,-0.024587326,0.040715296
-0.10055647,3.0478187,9.141361,9.636586085,0.00206167,-0.006643159,-0.006872234,0.009778019
