lsm6dso_acceleration_sensor.x,lsm6dso_acceleration_sensor.y,lsm6dso_acceleration_sensor.z,rms_acc,lsm6dso_gyroscope_sensor.x,lsm6dso_gyroscope_sensor.y,lsm6dso_gyroscope_sensor.z,rms_gyro
0,0,0,0,0.011835515,-0.06895141,0.30772337,0.315575742
0,0,0,0,-0.16775887,0.23770294,-0.011148291,0.291152899
0,0,0,0,0.010613783,0.20777054,0.08597928,0.225108166
0,0,0,0,-0.12744176,0.16012305,0.02367103,0.206012405
0,0,0,0,-0.096898496,0.10881037,0.23625213,0.277568161
0,0,0,0,-0.14515686,0.1857794,0.1385137,0.273442031
0.2896984,2.6623523,9.285013,9.663514441,-0.19830213,0.14668402,0.3840815,0.456463071
-0.41180268,2.492364,9.20361,9.543997946,-0.28260154,0.28718302,0.33460143,0.523732598
-0.33997664,2.2697031,9.275436,9.555147789,-0.21907155,0.14729488,0.71761394,0.764629252
-0.20829555,1.9967642,9.342474,9.555745641,-0.5629887,0.20654881,0.44089198,0.744314735
-0.89303726,1.9512744,9.538799,9.777201731,-0.38767037,0.061773747,0.34804046,0.524629844
-1.0366893,1.8842367,10.022428,10.25056758,-0.47563496,0.47166434,0.66691214,0.945234186
-1.3934253,1.472434,10.388741,10.58468873,-0.33330336,0.8143597,0.8782715,1.243235166
-0.9959879,1.7501614,8.758289,8.986806053,0.18837558,0.10942124,0.7151705,0.747614346
-1.2497733,2.1787236,9.799767,10.11653118,0.025885414,0.28901562,0.53130007,0.60537579
-1.4053963,1.970428,9.689633,9.987327617,0.093080595,0.007406741,0.63270366,0.639556705
-0.9720459,2.3558946,10.228329,10.54105435,0.096134916,-0.012751812,0.47448957,0.484298341
-1.0773908,2.3942018,9.378387,9.738948399,0.16760615,-0.2674826,0.5349652,0.62114936
-0.22505496,1.982399,9.816526,10.01722208,0.019776762,-0.1501965,0.2759584,0.314806524
0.22984336,2.0350714,9.850045,10.06070227,-0.12072224,0.23587035,0.02367103,0.266024433
-1.271321,1.484405,11.597813,11.76133418,0.61903554,0.3861432,0.3016147,0.789482741
0.095768064,1.436521,7.853281,7.984158476,0.6801221,-0.07078401,0.18432859,0.708204403
-0.11971009,1.9393034,8.478168,8.697963027,0.12056953,0.0978148,0.23380867,0.280662147
0.009576807,2.1188686,10.740688,10.94769723,0.30321825,0.53458345,0.44700065,0.759954178
0.12449849,2.408567,8.731953,9.058901592,0.22197317,-0.025579982,0.08781188,0.2400778
-0.093373865,2.8778305,8.480561,8.956033829,-0.3644575,-0.17707457,-0.24755314,0.474833897
-0.08140286,2.944868,8.839692,9.317672919,0.093080595,0.16562083,-0.26526824,0.326284378
-0.4309563,3.383007,8.55957,9.213940432,-0.008933905,-0.002977968,-0.37705657,0.377174151
-1.292869,3.4261026,9.878776,10.53564922,-9.93E-04,0.018402316,-0.18891008,0.189806873
